laps,lapse,
lase,lays,laze,leas,leis,leys,
laser,lazar,lazer,
lay,lei,ley,
lea,lee,li,
leach,leech,
leaches,leeches,
lead,led,
leaf,lief,
leak,leek,
lean,lien,
leans,liens,
leased,least,
leave,lieve,
leaven,levin,
leaver,lever,
liar,lier,lyre,
literal,littoral,
load,lode,lowed,
loan,lone,
loaner,loner,
loath,loathe,
lo-cal,locale,
mach,mock,
made,maid,
magnate,magnet,
magnificence,magnificents,
mail,male,
mails,males,
main,mane,
maize,maze,
malevolence,malevolents,
mall,maul,
mandrel,mandrill,
manila,manilla,
manner,manor,
manners,manors,
mantel,mantle,
marc,mark,marque,
marcs,marks,marques,
marquee,marquis,
marshal,martial,
marten,martin,
mask,masque,
massed,mast,
mat,matt,matte,
may be,maybe (2 words/1 word),
mead,meed,
mean,mesne,mien,
meat,meet,mete,
meatier,meteor,
medal,meddle,
medals,meddles,
metal,mettle,
millenary,millinery,
missable,miscible,
missal,missile,
missals,missiles,
moan,mown,
moat,mote,
mordant,mordent,
muscat,musket,
mustard,mustered,
mutual,mutuel,
nae,nay,Ne,nee,neigh,
narc,nark,
naval,navel,
neap,neep,
oak,oke,
oar,or,ore,
oars,ores,
overate,overrate,
overseas,oversees,
pa,pah,pas,
paced,paste,
packed,pact,
packs,pax,
paid,payed,
pail,pale,
pain,pane,
pained,paned,
pair,pare,pear,pere,
paired,pared,
pairing,paring,
palate,palette,pallet,
pall,pawl,
pampas,pompous,
pan,panne,
pard,parred,
parol,parole,
passable,passible,
passed,past,
paten,patten,
patience,patients,
pause,paws,
pea,pe,pee,
pea,p,
peace,piece,
peak,peek,peke,pique,
peaked,peeked,piqued,
peaking,peeking,
peal,peel,
pealed,peeled,
pealing,peeling,
peals,peels,
pean,peen,
pearl,purl,
peas,pease,pees,
pedal,peddle,
pedalled,peddled,
pedals,peddles,
penance,pennants,
permanence,permanents,
pica,pika,
place,plaice,
plain,plane,
plainer,planar,planer,
plains,planes,
plait,plate,
plaiter,plater,
plaiting,plating,
planar,planer,
plantar,planter,
pleas,please,
pleural,plural,
polar,poler,poller,
pomace,pumice,
populace,populous,populus,
praise,prase,prays,preys,
pray,prey,
prayed,preyed,
prayers,preyers,
praying,preying,
preadolescence,preadolescents,
precisian,precision,
principal,principle,
protean,protein,
psalter,salter,
psammite,samite,
pupal,pupil,
quad,quod,
quaff,coif,
quarts,quartz,
quay,key,
quean,queen,
rabbet,rabbit,
rack,wrack,
racked,wracked,
racket,rackett,racquet,
racking,wracking,
racks,rax,wracks,
radical,radicle,
raid,rayed,
rail,rale,
rain,reign,rein,
rained,reigned,reined,
raining,reigning,reining,
rains,reigns,reins,
raise,rase,rays,raze,res,
raised,razed,
raiser,razer,razor,
raising,rasing,razing,
raki,rocky,
rancor,ranker,
rang,wrang,
rap,wrap,
rapped,rapt,wrapped,
rapper,wrapper,
rapping,wrapping,
raps,wraps,
rathe,wraith,
ray,re,
read,red,redd,
read,rede,reed,
reading,reeding,
real,reel,
reave,reeve,rive,
relaid,relayed,
remark,remarque,
